"","Bcells","CD4","CD8","Monocytes","NK","Neutrophils"
"SRR1550981",0.0068871275443226,0.0109758260691534,0.0437701181714654,0.31239165449171,0.0207851702870263,0.605190103436322
"SRR1551053",0.0139128553083615,0.0352201088447044,0.123717072226164,0.496601377507847,0.0155812033285271,0.314967382784395
"SRR1551060",0.0076773144993696,0,0.113636490267836,0.409925131415767,0.0396192810983431,0.429141782718685
"SRR1551074",0,0,0.0598132589115227,0.617589058199632,0.00165627169081522,0.32094141119803
