,Bcells,DCs,Monocytes,Neutrophils,NK,Tcells
SRR1740054,0.0454111480891894,0.066815924266982,0.318791930773358,0.0,0.188960898956729,0.380020097913742
SRR1740055,0.0435493010911458,0.10766050671061,0.352842567792642,0.0038616892745405,0.187263591579199,0.304822343551863
SRR1740056,0.0473608177392026,0.0518975758422673,0.279417752673583,0.0,0.148340960031749,0.472982893713198
SRR1740057,0.0713375976369229,0.0601074625800108,0.239447926521195,0.0004613571511112,0.145984776335113,0.482660879775647
SRR1740082,0.0946722756951112,0.0520893951625484,0.320215890222735,0.0154126928551296,0.0510990654166163,0.46651068064786
SRR1740083,0.095895963867648,0.049766702704863,0.31370542230053,0.003044183045819,0.0373178278071931,0.500269900273947
SRR1740084,0.0597697392161043,0.0273713986329684,0.334350007050576,0.0002735820398071,0.0611364130541964,0.517098860006348
SRR1740085,0.0662331780303227,0.0289143651891446,0.311822023949243,0.0001428722478853,0.0653924913354554,0.527495069247949
